id_koi,f18_ror,f18_steff_err2,f18_prad,f18_steff,f18_srad_err,f18_smass_err1,f18_srho_err2,f18_steff_err1,f18_ror_err2,f18_ror_err1,f18_period,f18_srho_err1,f18_smass,f18_prad_err,f18_srad,id_koi,id_koicand,f18_srho,f18_smass_err2,id_kic,v18_Kepler,v18_ecc,v18_period,v18_prad,v18_rovera,v18_ror,v18_smass,v18_srad,v18_srho,v18_steff,v18_smet,v18_kepmag,v18_relrho,v18_impact,v18_ld1,v18_ld2,v18_ecc_err1,v18_ecc_err2,v18_period_err1,v18_period_err2,v18_prad_err1,v18_prad_err2,v18_rovera_err1,v18_rovera_err2,v18_ror_err1,v18_ror_err2,v18_smass_err1,v18_smass_err2,v18_srad_err1,v18_srad_err2,v18_srho_err1,v18_srho_err2,v18_steff_err1,v18_steff_err2,v18_smet_err1,v18_smet_err2,v18_relrho_err1,v18_relrho_err2,v18_impact_err1,v18_impact_err2,v18_ld1_err1,v18_ld1_err2,v18_ld2_err1,v18_ld2_err2,v18_sample,dr25_BB1_cum,dr25_BB1_cum_err1,dr25_BB1_cum_err2,dr25_EP1_cum,dr25_EP1_cum_err1,dr25_EP1_cum_err2,dr25_PE1_cum,dr25_PE1_cum_err1,dr25_PE1_cum_err2,dr25_RD1_cum,dr25_RD1_cum_err1,dr25_RD1_cum_err2,dr25_RHO_cum,dr25_RHO_cum_err1,dr25_RHO_cum_err2,dr25_TAU1_cum,dr25_TAU1_cum_err1,dr25_TAU1_cum_err2,dr25_ZPT_cum,dr25_ZPT_cum_err1,dr25_ZPT_cum_err2,fgraz,f18_tau0,dr25_tau,multi,x,dr25_prad,dr25_prad_err
1,0.123851,60,14.141,5819,0.025,0.034,-0.04,60,-7.6e-05,2.5e-05,2.470613385,0.04,0.991,0.331,1.045,1,K00001.01,0.87,-0.035,11446443,TrES-2,0.00850304850155,2.47061339831,13.1979207277,0.126033792317,0.126038609484,0.97,0.96,1.54809374026,5850.0,-0.15,11.338,1.00269412076,0.842170698986,0.451133056386,0.171433669157,0.0928456319401,-0.00850258775526,2.47061342303,-2.47061342303,13.4756316194,-13.4756316194,0.00116812768054,-0.00112636758993,0.000409233579533,-0.000372587772672,0.08,-0.08,0.02,-0.02,0.0422591557851,-0.0422591557851,50.0,-50.0,0.1,-0.1,0.0252458645846,-0.0241942435432,0.000789171641622,-0.000768761706927,0.0631232598506,-0.0621336762628,0.0701413976558,-0.0665693443993,s,0.817858877467,0.000576357289426,-0.000569620482787,55.7633047822,8.87997846633e-06,-8.71425377369e-06,2.47061337755,2.66513144886e-08,-2.77019052142e-08,0.123869018824,5.97758826065e-05,-6.00204198769e-05,1.8356927216,0.00693505288096,-0.0070107627444,1.29321372266,0.000377772145439,-0.000374950950146,-1.88304597434e-09,9.68280137087e-07,-9.81705565348e-07,0.0,2.88318794048,1.29321372266,,2.470613385,14.1093005892,0.337612022262
2,0.075408,60,16.25,6449,0.043,0.028,-0.0,60,-7e-06,8e-06,2.204735365,0.01,1.515,0.349,1.973,2,K00002.01,0.2,-0.017,10666592,HAT-P-7,0.0111694174992,2.2047354334,16.8689350609,0.240748382835,0.0777148316774,1.55,1.99,0.278910428181,6350.0,0.26,10.463,1.00381419423,0.500372509915,0.355293931544,0.164245506786,0.114536994505,-0.0111660633827,2.20473546294,-2.20473546294,17.1232631241,-17.1232631241,0.00419506434937,-0.00392168273433,1.62751375962e-05,-1.55884165337e-05,0.1,-0.1,0.03,-0.03,0.0140863852617,-0.0140863852617,80.0,-80.0,0.08,-0.08,0.0425337523541,-0.0427597651763,0.00093884501455,-0.00107416572267,0.00297150136893,-0.0025509781841,0.00452845823909,-0.00435129373298,s,0.013574126177,0.0138330591231,-0.00936043051272,54.3585408679,1.62510106421e-05,-1.65684038578e-05,2.20473541739,4.38652794088e-08,-4.35136402466e-08,0.0751825694625,8.17256810882e-06,-7.78278665427e-06,0.408035028107,0.000205458037825,-0.000329008102434,3.57146449295,0.000448194271653,-0.000433120894086,-1.247563713e-06,5.57126126515e-07,-5.35935274144e-07,0.0,4.53126990048,3.57146449295,False,2.204735365,16.1685378409,0.352384879599
7,0.024735,60,4.076,5827,0.04,0.047,-0.02,60,-7.6e-05,0.000141,3.213668628,0.02,1.148,0.107,1.509,7,K00007.01,0.34,-0.052,11853905,Kepler-4,0.0238923662823,3.21367133532,4.21724758258,0.164711577857,0.0249440357648,1.09,1.55,0.409913811115,5781.0,0.09,12.211,1.02248852719,0.34413460444,0.393829893144,0.253676194017,0.187169854954,-0.0238920275939,3.21367224765,-3.21367224765,4.33396394594,-4.33396394594,0.00252843485779,-0.00238214823693,0.000224088452696,-0.000249422470882,0.07,-0.07,0.04,-0.04,0.0183123008402,-0.0183123008402,76.0,-76.0,0.1,-0.1,0.102470803809,-0.146622846972,0.126696300628,-0.104567716844,0.0348553710574,-0.0346255079459,0.053697077727,-0.0540664754033,s,0.14598720973,0.140103510347,-0.0999079386986,56.6119119553,0.000273978071192,-0.000280068789081,3.21366883111,1.12156768228e-06,-1.09980525265e-06,0.0245354234594,0.000161948380211,-7.22338242052e-05,0.452836492098,0.0130065513919,-0.0402950769144,3.86863493377,0.00810732457077,-0.00823546681329,4.34524408879e-08,1.07309859535e-06,-1.11536510282e-06,0.0,4.30478863417,3.86863493377,False,3.213668628,4.03561098602,0.108694302124
10,0.093582,60,15.704,6181,0.038,0.041,-0.02,60,-0.000198,0.000117,3.522498573,0.02,1.145,0.391,1.536,10,K00010.01,0.32,-0.046,6922244,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.63129289006,0.00711499931019,-0.00761571831417,54.1194207379,4.75921850551e-05,-4.68371406939e-05,3.52249843641,1.99279376556e-07,-1.98945294017e-07,0.0920817487282,0.000156763735057,-0.000160319385413,0.654013806146,0.015337870241,-0.0142599099833,2.76716178248,0.0014785809874,-0.00143118936661,-3.14805454508e-08,2.33813669665e-06,-2.35246003737e-06,0.0,4.52909457438,2.76716178248,,3.522498573,15.4166946991,0.382325138794
17,0.095137,60,13.101,5660,0.031,0.034,-0.03,60,-1.8e-05,2e-05,3.234699312,0.02,1.09,0.32,1.261,17,K00017.01,0.56,-0.03,10874614,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0146927285965,0.0157038991574,-0.00999768937076,54.4865711561,3.02929325926e-05,-2.95040428355e-05,3.23469928282,1.2086660961e-07,-1.22927471313e-07,0.0925596865315,2.01539952319e-05,-2.01234948781e-05,0.77570853268,0.000766767395781,-0.000949432023426,3.27578539271,0.00090921629501,-0.000877878493696,-1.60791500033e-06,1.70680143285e-06,-1.63541859954e-06,0.0,3.65308465698,3.27578539271,,3.234699312,12.7222363541,0.312771429756
18,0.080126,60,15.233,6332,0.051,0.023,-0.02,60,-2e-05,2.2e-05,3.548465405,0.01,1.309,0.435,1.74,18,K00018.01,0.27,-0.025,8191672,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0155096044441,0.0167451887775,-0.0105924087864,55.9014390905,4.18611310451e-05,-4.40338498251e-05,3.54846541877,1.88598982653e-07,-1.86104665012e-07,0.0782339147484,1.94349516838e-05,-1.90349814529e-05,0.399217701098,0.000399000304903,-0.000539109679701,4.21577290016,0.00118030686029,-0.00116205267074,1.62048397985e-07,1.43743903072e-06,-1.41002971184e-06,0.0,4.80474168778,4.21577290016,,3.548465405,14.8378442712,0.434917632564
20,0.117936,60,19.38,5926,0.039,0.062,-0.02,60,-2.3e-05,1.6e-05,4.43796303,0.02,1.086,0.49,1.504,20,K00020.01,0.32,-0.03,11804465,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0106193791477,0.0118745545238,-0.00730470041502,104.009125971,3.01581118975e-05,-2.89830995968e-05,4.43796293617,1.7254908169e-07,-1.73357187272e-07,0.116770551108,1.99070433345e-05,-1.96757572742e-05,0.508135707819,0.000357654603019,-0.000412900317747,4.19153598541,0.000890992184635,-0.000872672837025,2.54466060391e-06,2.18327568195e-06,-2.17812989371e-06,0.0,4.89165336504,4.19153598541,,4.43796303,19.1428970664,0.496402216097
22,0.093941,60,12.847,5891,0.029,0.027,-0.04,60,-0.000243,0.000138,7.891448474,0.03,1.119,0.293,1.252,22,K00022.01,0.58,-0.031,9631995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.301069642111,0.0235052981988,-0.0275446820094,110.249961819,5.14242750427e-05,-5.13777099798e-05,7.89144883397,5.19240566099e-07,-5.19878333272e-07,0.0934307770489,0.000167726172103,-0.000178953107955,0.98634880729,0.0257528748936,-0.023683238689,3.88232008296,0.00143113384559,-0.00148200210209,-9.59150267644e-08,2.47154175567e-06,-2.46815550456e-06,0.0,4.86057166569,3.88232008296,False,7.891448474,12.7503112823,0.296280527176
41,0.014026,60,2.34,5854,0.034,0.072,-0.01,60,-0.000601,7.9e-05,12.81588378,0.02,1.097,0.077,1.526,41,K00041.01,0.31,-0.03,6521045,Kepler-100c,0.0233562388839,12.8159091939,2.21916652507,0.0632943210435,0.013445775068,1.1093,1.51312,0.45422891,5902.77,0.104,11.197,1.0765523897,0.0269541637673,0.456965750828,0.22725546248,0.148333643373,-0.0173799369726,12.8159354061,-12.8159354061,2.24069618353,-2.24069618353,0.000271239954035,-0.000198790094483,0.000131193623102,-0.000100929731157,0.02,-0.02,0.0093,-0.01127,0.00430685,-0.00578993,53.27,-66.37,0.064,-0.107,0.0708924276184,-0.0689689586167,0.230521920091,-0.02695252883,0.0378786190755,-0.0337565741274,0.0517993709599,-0.0468866273613,m,0.325970164713,0.277215392407,-0.224940622306,55.946838284,0.00121026476196,-0.00123076533524,12.8159038876,1.98331531731e-05,-1.99355416655e-05,0.01361988111,0.000521192379069,-0.00017123863924,0.373874994475,0.0598630507372,-0.147525543451,6.24885590539,0.0344779444281,-0.0341958800487,5.98725845057e-09,6.14491598609e-07,-6.02081270223e-07,0.0,7.04001194218,6.24885590539,,12.81588378,2.26544930455,0.0765771746536
41,0.008062,60,1.344,5854,0.034,0.072,-0.01,60,-0.000227,0.001336,6.88706037,0.02,1.097,0.133,1.526,41,K00041.02,0.31,-0.03,6521045,Kepler-100b,0.129765585557,6.88703720536,1.30350880953,0.0957582220411,0.00789786888639,1.1093,1.51312,0.45422891,5902.77,0.104,11.197,0.98994330961,0.487090950895,0.456965750828,0.22725546248,0.272067743409,-0.129764411222,6.88708448203,-6.88708448203,1.33372237831,-1.33372237831,0.000410359970953,-0.000300750299447,0.000409510033556,-0.000176508682874,0.02,-0.02,0.0093,-0.01127,0.00430685,-0.00578993,53.27,-66.37,0.064,-0.107,0.321314838621,-0.358189529738,0.434951610098,-0.144188702415,0.0378786190755,-0.0337565741274,0.0517993709599,-0.0468866273613,m,0.314518944245,0.291108787353,-0.221506709551,66.1782097261,0.00269756300904,-0.00277036860828,6.8870668315,2.26151200104e-05,-2.34492010804e-05,0.00761949471161,0.000297078470791,-0.000158519654875,0.583798751703,0.0931144328947,-0.232195608014,4.38712840271,0.0736078976013,-0.0766869892104,-1.35565875069e-08,6.30045968817e-07,-6.26939365501e-07,0.0,5.72358986109,4.38712840271,,6.88706037,1.26738103336,0.0472555117849
